,title,media,date,datetime,desc,link,img
0,Google makes $100000 worth of tech training free to every U.S. business,Reuters,3 days ago,2022-05-03 13:17:52.478321,"Alphabet Inc's Google will provide any U.S. business over $100000 worth of 
online courses in data analytics, design and other tech skills for their 
workers...",https://www.reuters.com/technology/google-makes-100000-worth-tech-training-free-every-us-business-2022-05-02/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,What jobs crisis? Top Chinese regulator says tech is booming,CNN,3 weeks ago,2022-04-15 13:17:52.489098,"One of the regulators behind China's dramatic crackdown on private 
enterprise has tried to quell growing concerns about the impact on 
employment, saying the...",https://www.cnn.com/2022/04/11/tech/china-jobs-tech-regulator-intl-hnk/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,Pittsburgh tech is seeing the most tech job growth in software and cybersecurity,Technical.ly,1 month ago,2022-04-06 13:17:52.500070,"A CompTIA report says the city's tech economy is expected to grow across 
certain roles, but Pittsburgh is still grappling with diversifying in its 
tech...",https://technical.ly/software-development/pittsburgh-comptia-report-tech-jobs/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,Hiltzik: The tech exodus from California? It was a bust,Los Angeles Times,1 month ago,2022-04-06 13:17:52.510554,"Wannabe innovation hubs from coast to coast have been slavering over the 
prospect that the work-from-home revolution triggered by the COVID pandemic 
would...",https://www.latimes.com/business/story/2022-03-23/california-tech-exodus-was-a-bust,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,The best places to live in the U.S. in 2022,CBS News,1 month ago,2022-04-06 13:17:52.520098,Did your city make the cut?,https://www.cbsnews.com/pictures/best-places-live-united-states-america/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,"Tech hiring fair promises on-the-spot interviews, job offers",The Business Journals,1 month ago,2022-04-06 13:17:52.529958,"Get your resume ready. Venture Miami's tech hiring fair will return to 
Miami Dade College, Wolfson Campus April 14 in a bid to connect nearly 50 
startups...",https://www.bizjournals.com/southflorida/inno/stories/news/2022/03/14/venture-miami-tech-hiring-fair.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,Covid exodus? Tech job growth accelerated in New York during remote work,Crain's New York Business,"ar 8, 2022",,"Remote work has allowed more U.S. cities to capture tech job growth—but 
that hasn't slowed the industry's progression in New York. Tech employment 
grew 5%...",https://www.crainsnewyork.com/technology/covid-exodus-tech-job-growth-accelerated-new-york-during-remote-work,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,The Great Tech Hub Exodus Didn't Quite Happen,WIRED,"ar 8, 2022",,"Two years into the pandemic, US tech jobs remain concentrated in a handful 
of coastal hubs. But a new set of cities is gaining ground.",https://www.wired.com/story/pandemic-remote-working-fail/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,"How to land your dream job in tech, according to industry experts",Business Insider,"an 26, 2022",,"There are tens of thousands of open jobs at some of the tech industry's 
largest employers, including Meta, Google, Amazon, and more.",https://www.businessinsider.com/how-to-land-dream-job-in-tech-2022-1,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,UK tech sector achieves best year ever as success feeds cities outside London,GOV.UK,"Dec 20, 2021",2021-12-20 00:00:00.000000,"More VC investment, more unicorns, more jobs and more futurecorns.",https://www.gov.uk/government/news/uk-tech-sector-achieves-best-year-ever-as-success-feeds-cities-outside-london,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
